"screen_name","followers_count","text"
"swatim80",782,"IndiaPost-World largest postal network with aprx156000 post offices. Great opportunity to leverage this huge network during #Covid pandemic.@PATHtweets  partnership with @IndiaPostOffice &amp; @HFWOdisha started delivering #FamilyPlanning commodities ALL dist of Odisha. Scaling time! https://t.co/aLECcwZQz9"
"DoubleEdge_UK",704,"""Working from home could be keeping #Covid-19 at bay – for proof, look at London...""

If your business is able to function #remotely, we can set up your workforce, #securely and efficiently, wherever you are! Call us now, on 020 3137 8460
https://t.co/4LqdE6gcEv"
"sandwellupdate",58,"11,900 die every week in the UK.
In week 36, just 78 of those deaths, of those 11,900, were 'with' #Covid.
 Why are we STILL locked down? https://t.co/dLRVqYPUd5"
"chris568926",134,"1/ Devon’s public health director tells local MPs the problems with the Government’s national #Covid testing system “awful” &amp; it’s a “real mess”. The number of positive tests in #Devon were 5 to 6 a day last week, compared with 10 to 15 the week before..."
"Unite4USA",35,"With 198,555 Americans dead from #COVID as of Monday, that number will break 200,000 within a day or two.

So, @realDonaldTrump, in memory of those who have died, could you please say the number out loud when we hit that
horrendous statistic?

If not, we'll do it for you, wussy."
"JimTypeDude",14148,"#BREAKING PA Gov. Tom Wolf’s #COVID-19 Restrictions Were Unconstitutional, Federal Judge Rules

https://t.co/arsJv2U4sh"
"trangpang",3132,"@edscouse247 @scotgov Go and read the less biased New York Times article on @ScotGovFM approach to #covid."
"NalakaG",28853,"Work from home is productive but not as exciting as we thought it would be. But will this change the way we consume as we go into post #COVID-19 hybrid work model. What will it mean for the new economy and environment I ask https://t.co/iImy2mBlBL"
"plantivation",17,"Hey Lakers! Unsure of what to do if you might have been exposed to COVID-19? Click here to read Editor-in-Chief Madelyn Kidd's article https://t.co/PcjzjmnWiu #COVID #coronavirus #Lakers https://t.co/4taKnpPqNf"
"b14725r",102,"This man is a class act, a #COVID hero in my estimation, standing up the government 'pandemic' theatre and #mask charade... https://t.co/PXnASYF1sa"
"DiproHailakandi",8,"With the alarming increase of #covid death in the state, it's an ardent appeal to follow all the protocols and seek medical treatment at proper time during #Homeisolation.

#Assamfightscorona

@MoHFW_INDIA @WHO @himantabiswa @Pijush_hazarika @samirsinha69  @PomiBaruah @diprassam https://t.co/23JQ4e2OBB"
"Jacquel13895809",2841,"11,900 die every week in the UK.
In week 36, just 78 of those deaths, of those 11,900, were 'with' #Covid.
 Why are we STILL locked down? https://t.co/dLRVqYPUd5"
"SunnyOsahn",737,"LEEDS DADS
Despite #Covid we are still here for you!

Want to get in touch with other dads and find out about our activities?

Reply to join our Leeds Dads WhatsApp group for all the latest news and support from fellow dads 

Text: 07562 646603
Email: leedsdads@gmail.com https://t.co/XCXCEV5CKL"
"para_cetemol",63,"Best news in #covid times - The Mughal Garden inside the Rashtrapati Bhavan is now renamed to Dr. Rajendra Prasad Garden <U+0001F44D>"
"HussainImy",830,"@AmnKaur @asda @AsdaServiceTeam ...unless #covid has directly affected someone's family...some people just think meh ain't going to affect me.
 I work in nhs at a few hospitals across the uk..and ppl in every town/city are doing the same. Scary but true"
"pulmonology101",3345,"Iba et al: Narrative review on coagulopathy in #COVID19 associated severe #ARDS 

Link: https://t.co/RGe8dFFpmo

#CritCareMed @SCCM 

Fig: Various types of thrombus formation in #COVID-19. https://t.co/LqaLjeDWVs"
"kurt_bauch",242,"#BREAKING PA Gov. Tom Wolf’s #COVID-19 Restrictions Were Unconstitutional, Federal Judge Rules

https://t.co/arsJv2U4sh"
"forwardleeds",3401,"4 those seeking help, pls know #recovery is possible. Since Apr &amp; thru #COVID over 700 people have left #Treatment @forwardleeds in a positive/planned way, meeting their recovery goals. If you need help pls call 0113 887 2477. #RecoveryMonth #HarmReduction #MentalHealthMatters https://t.co/gRc1nBRX1g"
"rizfan",4011,"Hi <U+0001F44B><U+0001F3FD> pro-life unmasked Ted.
You wouldn’t be trying to distract from the fact that you’ve been complicit in the monstrous act of mass illegal hysterectomies of confused migrant women and thousands of Texas #COVID deaths, would you?

November is coming <U+0001F5F3>
#TrumpKnewVoteBlue https://t.co/6Jv55NcO4v"
"VOWFMNEWS_",170,"Coming up in your 12PM news with Karabo Tebele (@Bluekaybee)

- City of Tshwane warns residents against illegal dumping 
&amp;
- Gauteng continues to lead with Covid-19 recoveries 

#VOWFMNEWS 
#Covid-19"
"VOWFMNEWS_",170,"Top stories coming at 11AM with Karabo Tebele (@Bluekaybee) 

- Gauteng continues to lead with number of recoveries of Covid-19 
&amp;
- Today marks the Afro World Day 

#VOWFMNEWS 
#Covid-19"
"EtNa_Os2heavy",255,"So sad that this sums there (and, don’t feel complacent)... HERE !! Cutting, brilliant!!...
#fires #covid #trump #scottythefuckwit #auspol https://t.co/tFcclplSaD"
"NC63911592",3,"As a move to reduce congestion in the health facilities treating #COVID19 patients, the @MinofHealthUG has opened up Namboole to start receiving #COVID-19 patients.
The stadium will serve as a treatment center for asymptomatic and mild COVID-19 cases. Great work. https://t.co/kbcoMO0b0Y"
"tn_eastengland",547,"Latest insights by @IjyiLtd  has revealed the widespread impact of #COVID-19 on UK businesses, their employees and use of technology. https://t.co/C4VztmYGZ7 https://t.co/vgm389tjf2"
"ladiesman16789",115,"Well well well. @stanford just rebuked the medical school and other professors who complained about @swatlashoover. Worth noting Stanford has had several smart contrarian voices on #Covid. https://t.co/poBR7Ohcqk"
"EuniceMachua",1074,"Delayed payment of #InuaJamii has lowered the dignity of #olderPeople as some are being thrown out of their rented houses in #COVID-19.
#KiberaElderly

@FlorianJuergens @maina_itume @LabourSPKE @AFD_en @CboKarika @LabourSPKE @NSSF_ke @wa_muchomba"
"titusonenine",161,"“Over 50k deaths involving #Covid-19 in the #UK” see how the language has changed? “from” to “with” to “involving”. What’s next? “Passing relationship with?”"
"lindsay_hermes",387,"Very cool to meet Hope and hear how #JobKeeper and the more than $170,000 from our zoos support package helped the Australian Reptile Park get through the #COVID shutdown with all 41 of their staff still employed. https://t.co/H5S8BGHIrA"
"dbootsy",686,"A pleasure working with @northeastlep amongst other contributors @NUFC @NewcastleHosps and @My_Metro to promote a united response to Covid-19 lockdown. The more we work together, the stronger we grow. 

#moreandbetterjobs #Covid #GlobalProcurementGroup

https://t.co/LDbrh0Zeg0"
"CarlaStemate",221,"A new clinical study, funded by @UKRI_News and @NIHR  will explore the effects of administering Covid-19 vaccines as inhaled airborne droplets rather than by injection, similar to an asthma inhaler.
#healthcarenews
#covid-19
https://t.co/NJ8Yc09qG5 https://t.co/eBeumtacNh"
"margweston",1169,"This faux #COVID 'pandemic' has little to do with actual public health and everything to do with social engineering and control. 

Govs &amp; corresponding Corporate stakeholders are attempting to demoralize population through a technocratic regime of applied behavioral psychology."
"margweston",1169,"This idea that a Positive Test for #Coronavirus equals a Case, is a complete abomination of medical terminology. It's a total Lie and misrepresentation of reality. But yet, #COVID policies all around the world are being built on top of this Lie. #MSM #pcrtest #Casedemic https://t.co/errwPZXYA4"
"AlcockNews",1341,"We're only now starting to get a more complete picture of how #Covid is impacting general aviation, including these discouring billing numbers from @GAManufacturers: https://t.co/24RUAs1nsH"
"PublicPol_Lab",136,"What can policy makers learn from #covid-19? In this blog for @BlavatnikSchool our Policy Execution Lead @AleNastase discusses how governments can ensure they have practical and adaptive problem solving approaches: https://t.co/afs5WGyQJn"
"pollymoth",591,"Police officer on @abc730 just confirmed there is no testing for #covid before passengers get to the hotel. No test on arrival to Australia, no test before getting through customs &amp; quarantine. No test before they are exposed to bus drivers, police, security, hotel staff etc."
"softhardworker",151,"Calm, strong, consistent performance by @DanielAndrewsMP #abc730 

“Leadership is not about doing what’s popular, it’s about doing what’s right.”
#covid 
#victorialockdown https://t.co/ZfFg2NvMWg"
"carolehope2",3835,"Boris Johnson has exempted hunting (killing for deviant pleasure) from the Covid19 rule of six.

In my book hunt sabatour's are exempt as well, then.
https://t.co/hlzoOCccez #BanHunting #RuleOfSix
#Corona #COVID19 #COVID #ToryLawBreakers"
"warspring",871,"11,900 die every week in the UK.
In week 36, just 78 of those deaths, of those 11,900, were 'with' #Covid.
 Why are we STILL locked down? https://t.co/dLRVqYPUd5"
"warspring",871,"#Australia is becoming a full-blown fascist state and @DanielAndrewsMP will go down in history as one of the most clueless and hated politicians in history of the country, and it will be well-deserved. #COVID Medical Martial Law. WATCH https://t.co/knxGxgvKhK"
"scooterdawg",12051,"Hi <U+0001F44B><U+0001F3FD> pro-life unmasked Ted.
You wouldn’t be trying to distract from the fact that you’ve been complicit in the monstrous act of mass illegal hysterectomies of confused migrant women and thousands of Texas #COVID deaths, would you?

November is coming <U+0001F5F3>
#TrumpKnewVoteBlue https://t.co/6Jv55NcO4v"
"NancyRuhling",1275,"Outdoor classes at St. John’s Prep. #astoria #nyc #queens #covid #outdoorclasses #stjohnsprep #covidclasses https://t.co/oWvEIgywwB"
"WilliamsonChris",14290,"#Eurozone manufacturing output growth lost momentum in July after initial rebound from #COVID-19 lockdowns, with rising infection rates threatening recovery prospects in coming months. #PMI showed the recovery remained robust in Aug but has lost strength. https://t.co/q6YWw8JaLj https://t.co/KBPpTNcD3X"
"Thus_Spake_Alex",32,"does .@DanielAndrewsMP know about this scientific method to fight the Victorian people - sorry, #covid? https://t.co/OAj2xbh9GO"
"InvestMENA",796,"When is the Health Minister addressing the Parliament on #Covid &amp; specifically answer one question -How come despite BJP Govt’s preventive measures like tali, thali, candles, bhabhiji ke Pappad, corona mantra, cow urine cases galloped from 521 to 45 Lac+ with India ranking No.2?"
"steketeh",2663,"<U+0001F1F5><U+0001F1F8>#Palestinian MOH
15- 9-2020  10:30 AM 
<U+0001F6A8>#COVID-19 daily updates in #Gaza Strip.

<U+0001F4AB>New PCR tests preformed : 1590

New cases: 79

<U+0001F4AB> Cumulative  confirmed cases:  2006

-Recovered cases:
-New : 60
-Total : 303
- Active cases:1688

<U+0001F4AB>Deaths:15"
"fergusblue",48,"Are you a County of Renfrew or South Algonquin resident, and looking to get a #COVID-19 test? Visit #RCDHU's website at: https://t.co/miBQnG5wEa to see the new September 14-October 02 schedule! 
#PhysicalDistancing #WashYourHands<U+0001F932> #MaskUpCanada https://t.co/GCCQEzdTmw"
"1969Human",317,"I’ve called on the BBC to reverse its decision to end the daily broadcast of the First Minister’s #Covid Covid briefings. They’re needed now more than ever.  https://t.co/PgOuOXNnkA"
"HousingLIN",3904,"We've updated our #Covid #HLINBriefing (No1) on specialist housing for operators of #extracarehousing #retirementhousing to reflect new rules on #socialgatherings that came into effect yesterday. Access this &amp; the other 5 briefings in our series at: https://t.co/IAIVuG9Xhe https://t.co/basD3Aka1F"
"CountrySkills",4399,"1/ Devon’s public health director tells local MPs the problems with the Government’s national #Covid testing system “awful” &amp; it’s a “real mess”. The number of positive tests in #Devon were 5 to 6 a day last week, compared with 10 to 15 the week before..."
"Gate_15_Analyst",1890,"San Francisco Catholics plan Eucharistic processions to ‘Free the Mass’ https://t.co/b18fEtaqLf via @cnalive #faith #COVID"
"Gate_15_Analyst",1890,"Hundreds gather in Belen to protest governor's restrictions on churches https://t.co/hdJ0xBzMz3 #faith #COVID"
"Gate_15_Analyst",1890,"Local churches hold ‘Faith Over Fear’ event in Belen https://t.co/OU9y9nF4fW #faith #COVID"
"mikenov",142,"5:35 AM 9/15/2020 - Tweets by @mikenov: West Nile virus in Spain | The example of #Sweden indicates that our current #understanding of the so called ""#Covid-19"" is #incorrect and may be the result of the deliberate #disinformation. 

https://t.co/se38Yjj6iR https://t.co/lhxXzmAl8s"
"Indiastats",491,"#CoronaInOdisha<U+0001F447> 

#With 4613 active cases in #Bhubaneswar and 2213 cases in #Cuttack city till Monday, the twin cities have now become #Covid #hotspots. View here top 10 #districts of #Odisha with Highest #Covid19 Cases.

#Mospi #Data4good #Data #Gis #Puri #Ganjam #Khordha https://t.co/eO8F9zpCQX"
"nexus1111",176,"Police officer on @abc730 just confirmed there is no testing for #covid before passengers get to the hotel. No test on arrival to Australia, no test before getting through customs &amp; quarantine. No test before they are exposed to bus drivers, police, security, hotel staff etc."
"MsJoBillington",4469,"Need some advice. Eldest (#autistic) has temperature, cough, sore throat. Goes into meltdown at the thought of having a #Covid test.  If I get get them to do the nose bit and swab their cheek is that worth doing? #ActuallyAutistic #AskingAutistics"
"inppakistan",1740,"#PAKISTAN-#ISLAMABAD-#COVID-19-#SCHOOL-DISINFECTION 
https://t.co/fcqTlCx7Fj via @INP for Latest News Updates https://t.co/zk79FEie2P"
"jhpaes",408,"#Eurozone manufacturing output growth lost momentum in July after initial rebound from #COVID-19 lockdowns, with rising infection rates threatening recovery prospects in coming months. #PMI showed the recovery remained robust in Aug but has lost strength. https://t.co/q6YWw8JaLj https://t.co/KBPpTNcD3X"
"Lawyerlinguist1",934,"1/ Devon’s public health director tells local MPs the problems with the Government’s national #Covid testing system “awful” &amp; it’s a “real mess”. The number of positive tests in #Devon were 5 to 6 a day last week, compared with 10 to 15 the week before..."
"LizziDodson",42,"New #COVID-19 School Dashboard designed for educators and parents to help make educated decisions about their children's educational and health needs. TCPH Director Vinny Taneja talks about what it provides.  @TarrantCountyTX https://t.co/pb9lYwGrqj https://t.co/7rkfSd9Hlx"
"Poultry_Network",11840,"1/2.  When businesses like world class @BanhamPoultryUK have a member of staff test #Covid<U+2795>are asked to shut down to prevent local spread, they don’t just lose £millions in lost revenues.

They have to cull their livestock. 

That should be compensated: 

<U+26A0><U+FE0F>otherwise there is .. https://t.co/Po6R2LjBJ6"
"Lindsay_C10",292,"Step Back from the Spin. If you believe for a nanosecond that “#Brussels” has any desire to “Carve Up” the Country with the Highest Deaths and the Deepest Recession in Europe you are probably also a #Covid denier and believe the Earth is Flat. It’s that Simple. #PeopleFirstUK https://t.co/UfdNfE7Fuc"
"fw_livingstone",79,"In our Jul-Sep issue we examine the commercial implications of the #COVID-19 pandemic, #reputational risks in #litigation, product liability, the #IoT, #ODR, #dispute resolution, investment treaty arbitration and so much more. Read it for free here: https://t.co/8fqizkQlaH https://t.co/kGjAjqKEFe"
"dangibbsuk",363,"Seeing a Facebook friend is trying to book a #COVID test but can't get one. Despite the government claiming you can and the system is ""world beating"". What a mess. https://t.co/ovoUIYIwgZ"
"Steve1London",6293,"UK death toll from #Covid now over 57,000 (ONS) strange how the #LawBreakers in our govt stopped reporting the figs when they got to 41k + blaming labs for bottleneck when they say they have staff standing around #ToryLiars 

https://t.co/zxukE3yGlv"
"HealthCoachLond",1768,"@TSicillian Exactly. They have made #COVID their only priority. A complete mass hysteria going on in the world."
"HealthCoachLond",1768,"Dear @MattHancock your stupid policies are creating a #meantalhealth #epidemic https://t.co/REPHLA49NQ via @MailOnline #addiction #covid @piersmorgan @Scientists4EU @ProfKarolSikora"
"HealthCoachLond",1768,"@TSicillian Absolutely! And hash lockdown will work only if you are willing to #lockdown until you get a #vaccine which could be years or a bad vaccine which would worst than the #illness! Madness #covid"
"TRFT_Charity",551,"Although we haven't lost any staff to #covid in #Rotherham our thoughts &amp; prayers are with those Trusts who sadly have. The brilliant @AngelsofNHS are funding angel statues to present to families of #NHS workers who have passed away during the pandemic. Support them if you can. https://t.co/iZCFsH4ocH"
"ursulabyrne5",920,"@gavreilly . @ronan_glynn 's message to Dubliners 5 DAYS AGO talked about 4% daily increase in #COVID numbers.I couldn't be more depressed if this long talked about government plan can't identify a level that Dublin should be placed on.Get your sh*t together @roinnslainte @DonnellyStephent"
"lbtst",74,"COVID Radar software goes public. Spanish Academia presents manifesto in favour of transparency for SW developed for the common welfare #opensource #covid #spain https://t.co/Xie7yv7ar0"
"tessblight",275,"1/ Devon’s public health director tells local MPs the problems with the Government’s national #Covid testing system “awful” &amp; it’s a “real mess”. The number of positive tests in #Devon were 5 to 6 a day last week, compared with 10 to 15 the week before..."
"dharamvirtanwar",4578,"When is the Health Minister addressing the Parliament on #Covid &amp; specifically answer one question -How come despite BJP Govt’s preventive measures like tali, thali, candles, bhabhiji ke Pappad, corona mantra, cow urine cases galloped from 521 to 45 Lac+ with India ranking No.2?"
"dprogurdaspur",800,"Renowned doctor Dr. Harshinder Kaur logically refutes the rumours circulating  about the removal of organs under the pretext of #COVID. https://t.co/7wUYcgnYg5"
"NGPLtd",738,"A pleasure working with @northeastlep amongst other contributors @NUFC @NewcastleHosps and @My_Metro to promote a united response to Covid-19 lockdown. The more we work together, the stronger we grow. 

#moreandbetterjobs #Covid #GlobalProcurementGroup

https://t.co/LDbrh0Zeg0"
"WakaTono6",0,"#Australia seems to have succeeded in controlling the #second_wave of #COVID-19 #infections. https://t.co/C7aSYSTDOx"
"guse_guse",9934,"1/ Devon’s public health director tells local MPs the problems with the Government’s national #Covid testing system “awful” &amp; it’s a “real mess”. The number of positive tests in #Devon were 5 to 6 a day last week, compared with 10 to 15 the week before..."
"Aaarruunn",95,"India gave test licence for #Covid vaccine to 7 manufactures, says health ministry 
Read updates here: https://t.co/3NTbOYODbb
#coronavirus #COVID19 https://t.co/uhq8bbbCBo"
"t9njobs",131,"Translation/editing/proofing job
Translation - Finance (general)
French to Arabic
Sep 16, 2020 21:00:00
https://t.co/8DRuOrnCvR

#t9njobs #xl8 #t9n #covid"
"t9njobs",131,"Translation/editing/proofing job
Translation - Other
English to Greek
Sep 16, 2020 21:00:00
https://t.co/HepmG58qfM

#t9njobs #xl8 #t9n #covid"
"HamzyCODE",101330,"#COVID-19 has upended many lives in the past few months, but what impact will it have on our rural communities? 

There are questions being asked about the viability of food scarcity, hunger, crime, traditional leaders roles in the rural communities.

Join @HamzyCODE at 14:00 WAT https://t.co/Cg3Sa0XDsp"
"Christinekorda",81163,"Exciting news for @CHILDSTUDY! Alberta gov't gives $700K to measure prevalence of #COVID-19 antibodies in 1,000 Edmonton kids as they return to school. @PiushMan heads the research that will help the province shape its pandemic response. 
https://t.co/K7vdt0Cb0y
@albertahealth https://t.co/GQl7Ivic0m"
"immymulekatete",2239,"Moderated by @Emahoro1, the panelists are devising the strategies to fight against #COVID-19 while also enjoying their full participation, rights, and freedom. 

#DemocracyDay 

https://t.co/xCTphcGtph"
"az0zone",650,"I repeat: thank F€$K I’m no longer a headteacher. No amount of £££ is worth the shite they’re dealing with right now. 
It was 80% fire fighting before #Covid now it must be petrifying, draining, exhausting and very lonely. #JohnsonMustGo"
"metrono82222070",60,"Breaking: Dan stamps out #COVID-19 in regional VIC. Steps on the gas &amp; opens up from tmrw midnight. Meanwhile, PM talks about a gas pipe dream in regional NSW - which would not deliver jobs for years &amp; sends us backwards on tackling #ClimateCrisis. #auspol"
"AfromMedia",3653,"Delayed payment of #InuaJamii has lowered the dignity of #olderPeople as some are being thrown out of their rented houses in #COVID-19.
#KiberaElderly

@FlorianJuergens @maina_itume @LabourSPKE @AFD_en @CboKarika @LabourSPKE @NSSF_ke @wa_muchomba"
"ONDPwomen",1451,"3hr wait outside for #covid test this morning at Michael Garon Hospital. Results in 1-3 days.  A child threw up in line, lots of seniors &amp; no washrooms.  

6 mos into pandemic, still no funds to meet testing needs during predicted 2nd wave, but millions for more cops?"
"TelanganaRT",165,"Where can I check my COVID test results?
Have got my sample reference no and OTP but no link provided.
@KTRoffice 
@TelanganaHealth

 #coronavirus #covid #Hyderabad #telangana #COVID<U+30FC>19 #CovidTesting"
"dailystarnews",811852,"Philanthropist @BillGates has said that it is very likely that the roll-out of #Covid-19 #vaccine will happen in #India sometime next year.

https://t.co/NHXkPd5Ulz"
"Realwoodskiff2",676,"Breaking: The WHO say Covid19 isn’t about a virus, it’s about changing our society. #COVID__19 #COVID #coronavirusuk #coronavirus #vaccine https://t.co/5oG7IjEIeU"
"szq62323",86,"<U+0001F4E2><U+0001F4A5><U+0001F4A5><U+0001F4A5>How #CCPVirus (#Covid-19) was made!!! Dr. @LiMengYAN119 made a live coronavirus in the lab. 
1. Deadly: If you replace the designed receptor-binding motif (RBM) to SARS S-protein (yellow)
2. Infectivity enhanced by a  a unique furin-cleavage site (green) in its S-protein https://t.co/k7KGz8Wxks https://t.co/zxIq4aDnEh"
"KiberaDay",32,"Delayed payment of #InuaJamii has lowered the dignity of #olderPeople as some are being thrown out of their rented houses in #COVID-19.
#KiberaElderly

@FlorianJuergens @maina_itume @LabourSPKE @AFD_en @CboKarika @LabourSPKE @NSSF_ke @wa_muchomba"
"OnlyDaveWong",1228,"Monday I get to have a #covid test before costume fitting. <U+0001F615> Fingers crossed it'll be okay. #COVIDtresting #actorslife #filming #movie"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 44
Adolph ""T.J."" Mendez, father of 6, from New Braunfels, #Texas died from #COVID. “My dad was the type of person that..would make a friend everywhere he went. He had an unbelievably big heart &amp; loved to share it with everyone around him.”
https://t.co/n57yc0FRE9 https://t.co/YkUsl3xvju"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 35
 Lynika Strozier died from #COVID. She overcame a severe learning disability, earning 2 master's degrees in bio and science ed. She was a botanist w/“golden hands” studying ancient plant DNA, a college instructor, and inspired so many people!
https://t.co/lfVxDVk5Wn https://t.co/CRJLPJDpBd"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 40
James House, father of 5, and registered nurse from Detroit, Michigan died from #COVID. While in the hospital, he frequently texted his sister with updates on his condition. His last text..“I’m about to be intubated now” https://t.co/EzTEGqWeRQ https://t.co/fn6urpmJTr"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 35
Nurse Krist Angielen Castro Guzman, mother of 3, died from #COVID working on the frontlines to save others in #Illinois. After getting sick, she self-isolated in a hotel room, but died soon after. Her kids are 6,5 and 4 months old. <U+0001F494> https://t.co/yJ8hqDx3MR https://t.co/r6UdnEwRpC"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 45
Teddy Bernal, father of 3, owner of Frank &amp; Lupe’s Restaurants in Scottsdale #Arizona died suddenly from #COVID. His wife said, ""I don’t know what I’m going to say to customers that are going to ask, you know, where’s Teddy?""<U+0001F494> cc:@dougducey 
https://t.co/U6wdfSrC69 https://t.co/2AbShY2jbq"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 23
Pinchos Boruch Unger from New Square, NY died from #COVID. He was a new father and husband, known as a talented and studious young man, meticulous in his mitzvah observance.
https://t.co/iURO4zKMDC https://t.co/hG9JhrDvOt"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 40
Omar E. Palmer, Customs Officer at JFK Airport died from #COVID in the line of duty. He served with Customs and Border Protection for 17 years.  He is survived by his mother, who is also a CBP employee. #EssentialWorkers 
https://t.co/GGhcY4rcjJ https://t.co/ZC01x04ODb"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 38
Karina Bonilla &amp; husband died from #COVID, leaving 5 children orphaned. Karina likely contracted the virus from a symptomatic fruit vendor she worked for, who opted not to self-isolate. Another 30yo family member suffered a stroke from #COVID.
https://t.co/SpCwahkksU https://t.co/yCnzPUkVsp"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 34
Danh Tran was a respected, fun-loving &amp; friendly person whose smile never failed to light up a room. Danh &amp; his fiancée, Jessica, were to be married in August but rescheduled due to the pandemic. He died from #COVID in Vancouver, #Washington
https://t.co/NkXnscvwtD https://t.co/vvZN0ykaVM"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 41 
Charles Robert Thacker was from #Arkansas and a Chief Petty Officer in the Navy. While deployed on the USS Theodore Roosevelt, 650 members contracted #COVID. 10 days later Thacker was found unresponsive while in quarantine on Guam. 
https://t.co/5X9JJfEyiA https://t.co/c68raFhO22"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 39
Robert Simon, father of 3, and beloved NYC @MTA worker died from #COVID. ""Everybody in the community just gravitated towards him. He always had a smile on his face — people always felt like he was their best friend""
https://t.co/Z9qe3aBZUJ  https://t.co/3yjGiDatP8 https://t.co/ZdeD5qM3OW"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 39
Shannon Bennett died from #COVID. He was a Sheriff’s Deputy for Broward County, #Florida, ""an out and proud gay law enforcement deputy.. protected and mentored young students.. a man in love to be wedded later this year”
https://t.co/ltcIt1dTCU https://t.co/I9jvSQDhDZ"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 40, 45, 74
#COVID ravaged the Leake family - a mother, daughter, and son all DIED within weeks. “We were inseparable,"" said their sister..for our family’s circle to be broken, that’s going to be difficult.”<U+0001F494> 
Leslie, 74
Nicky, 45
John Jr., 40
https://t.co/FCTwzLP17a https://t.co/ywEhgZMr3G"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 30
Another young man dies from #COVID after attending a “COVID party"" in San Antonio, #Texas according to health officials. Just before dying the man told his nurse, ""I think I made a mistake, I thought this was a hoax, but it’s not” @GovAbbott 
https://t.co/CckM3jdK6f https://t.co/bv1rpcTvaV"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 21
Cody Lyster was a baseball player and aspiring police officer, just like his father. His dad worked on the medical campus and got #COVID. Cody developed a cough, fever, confusion, then DIED from #COVID. His lil sister lost her best friend<U+0001F494>
 https://t.co/u9qehUnmCk https://t.co/P0qRf9eYj5"
"binsalleh2_s",1427,"<U+26A0><U+FE0F>dead at 31
Ajoraica Parker from Gonzales, #Louisiana was 7 mo pregnant with her 3rd child, when she began having chest pain from #COVID and prematurely delivered her baby on a ventilator. The baby survived, but Ajoraica didn't.<U+0001F494>
https://t.co/kYaJW7c8bA https://t.co/OyLdvl0noF"
